=== pile(k=4, random_pickup=True) ===
-- trials=200 --
trials=2000 | step=  1 | KS=0.096 | inv_mean=607.8 | runs_mean=10.00
trials=2000 | step=  2 | KS=0.024 | inv_mean=681.2 | runs_mean=34.89
trials=2000 | step=  3 | KS=0.025 | inv_mean=663.1 | runs_mean=26.91
trials=2000 | step=  5 | KS=0.021 | inv_mean=663.9 | runs_mean=26.41
trials=2000 | step= 10 | KS=0.015 | inv_mean=663.7 | runs_mean=26.51
trials=2000 | step= 20 | KS=0.024 | inv_mean=661.5 | runs_mean=26.52
trials=2000 | step= 30 | KS=0.018 | inv_mean=663.5 | runs_mean=26.56
trials=2000 | step= 50 | KS=0.015 | inv_mean=663.6 | runs_mean=26.50
trials=2000 | step= 80 | KS=0.015 | inv_mean=663.1 | runs_mean=26.41
trials=2000 | step=120 | KS=0.018 | inv_mean=660.7 | runs_mean=26.49
trials=2000 | step=160 | KS=0.012 | inv_mean=663.2 | runs_mean=26.50
trials=2000 | step=196 | KS=0.020 | inv_mean=663.1 | runs_mean=26.52

=== pile(k=13, random_pickup=True) ===
-- trials=200 --
trials= 200 | step=  1 | KS=0.070 | inv_mean=622.7 | runs_mean=13.00
trials= 200 | step=  2 | KS=0.038 | inv_mean=652.9 | runs_mean=16.86
trials= 200 | step=  3 | KS=0.048 | inv_mean=666.1 | runs_mean=27.29
trials= 200 | step=  5 | KS=0.063 | inv_mean=665.3 | runs_mean=26.61
trials= 200 | step= 10 | KS=0.049 | inv_mean=662.6 | runs_mean=26.52
trials= 200 | step= 20 | KS=0.040 | inv_mean=663.9 | runs_mean=26.33
trials= 200 | step= 30 | KS=0.060 | inv_mean=653.2 | runs_mean=26.58
trials= 200 | step= 50 | KS=0.046 | inv_mean=661.5 | runs_mean=26.32
trials= 200 | step= 80 | KS=0.048 | inv_mean=671.7 | runs_mean=26.44
trials= 200 | step=120 | KS=0.081 | inv_mean=658.9 | runs_mean=26.27
trials= 200 | step=160 | KS=0.053 | inv_mean=670.1 | runs_mean=26.27
